ds,yhat,yhat_lower,yhat_upper,Final_Forecast
1995-01-01,11128.741614135424,10076.926387899965,12352.32297164204,11128.741614135424
1996-01-01,11558.724376168257,10496.483856361789,12779.4247435103,11558.724376168257
1997-01-01,11953.395555212526,10673.23360129694,13135.038840853147,11953.395555212526
1998-01-01,12504.415701641525,11315.931619273577,13846.313414445342,12504.415701641525
1999-01-01,13096.51984573332,11773.785369942829,14601.819030172664,13096.51984573332
2000-01-01,13736.911036016018,12418.853272412192,15244.052806922718,13736.911036016018
2001-01-01,15498.860719533792,14022.465540410863,17086.74033806543,15498.860719533792
2002-01-01,16401.402661526223,14939.021855008172,18155.72702743549,16401.402661526223
2003-01-01,17393.644159598105,15842.9336674777,19223.415383434207,17393.644159598105
2004-01-01,18491.641304683104,16837.78152689959,20510.750990709894,18491.641304683104
2005-01-01,19112.0568507834,17324.716708652977,20922.70353025684,19112.0568507834
2006-01-01,20544.356674631086,18723.57120535399,22712.673787321623,20544.356674631086
2007-01-01,22157.57659785608,20057.232843379108,24311.704095669444,22157.57659785608
2008-01-01,23986.676633933872,21674.18644764805,26304.3929846652,23986.676633933872
2009-01-01,21984.77254216544,20075.904570683404,24427.684837295717,21984.77254216544
2010-01-01,24128.62547552982,21929.67813406118,26735.349735177,24128.62547552982
2011-01-01,26607.3607704962,24106.7487388581,29256.4011393738,26607.3607704962
2012-01-01,29493.18834287451,26780.362260179936,32522.591984109404,29493.18834287451
2013-01-01,28168.182757635364,25390.595928148967,30966.591112758248,28168.182757635364
2014-01-01,31750.28276329018,28562.28570275314,35163.87613365844,31750.28276329018
2015-01-01,36012.711123694266,32836.09801646224,40324.73112716309,36012.711123694266
2016-01-01,41121.816467592354,37153.897835602445,45649.42437048678,41121.816467592354
2017-01-01,47055.5053487497,42580.09948003298,51820.93154654564,47055.5053487497
2018-01-01,54798.40380280346,49134.94219654286,60684.06243627957,54798.40380280346
2019-01-01,64303.94303642068,58149.56772495935,70668.39752293707,64303.94303642068
2020-01-01,76061.40775273465,68912.95385827354,84267.01553502907,76061.40775273465
2021-01-01,97439.81409407235,88019.08311141051,108011.72823119326,97439.81409407235
2022-01-01,117792.43897544972,106475.4804729694,130182.68474144462,117792.43897544972
2023-01-01,143596.8543203082,130080.2962340741,157693.29639838732,143596.8543203082
2023-12-31,162014.23918902106,145707.48107091666,178223.32609160116,162014.23918902106
2024-12-31,218916.42325627583,197317.32173586256,242628.24632778935,218916.42325627583
2025-12-31,273754.7172685937,249316.49868111144,303940.91160672856,273754.7172685937
2026-12-31,345175.2196863397,311983.5718435859,380037.8883290007,345175.2196863397
2027-12-31,438727.8800111096,398719.50481233554,484705.6059249647,438727.8800111096
2028-12-31,555240.924239949,501829.1781947459,614071.5313745001,555240.924239949
2029-12-31,719159.593389676,655879.9299732626,791455.6875803369,719159.593389676
2030-12-31,937388.46037852,846122.0984158069,1030944.8088990472,937388.46037852
